file_id,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6
meld_train_dia0_utt0,0.46620908,0.0693834,0.052080855,0.10404142,0.12662575,0.06511678,0.116542764
meld_train_dia0_utt1,0.40602744,0.093482934,0.07128452,0.123042494,0.13821143,0.07493038,0.09302083
meld_train_dia0_utt2,0.23433948,0.07610941,0.09066756,0.09067037,0.3011039,0.042309918,0.16479938
meld_train_dia0_utt3,0.5948075,0.05862887,0.044380635,0.068479076,0.093044914,0.056625474,0.08403353
meld_train_dia0_utt4,0.42241564,0.100181684,0.0678971,0.113829605,0.09103899,0.06475232,0.13988467
meld_train_dia0_utt5,0.4930729,0.07354572,0.061510626,0.0915963,0.10886921,0.08043083,0.09097438
meld_train_dia0_utt6,0.50001734,0.085895754,0.05873872,0.10559828,0.100655034,0.057793226,0.09130169
meld_train_dia0_utt7,0.55629873,0.053312283,0.041284453,0.07743741,0.10243445,0.08197448,0.08725821
meld_train_dia0_utt8,0.4069208,0.0721572,0.05637415,0.08794397,0.24095242,0.046223894,0.0894276
meld_train_dia0_utt9,0.5899223,0.053691346,0.041451097,0.06632565,0.09393862,0.056302726,0.09836823
meld_train_dia0_utt10,0.09696786,0.07228087,0.15507147,0.13727076,0.13364136,0.08979829,0.31496936
meld_train_dia0_utt11,0.47603986,0.04594152,0.064288236,0.120057,0.15139075,0.049232945,0.09304969
meld_train_dia0_utt12,0.087143846,0.522743,0.042770132,0.058401473,0.119934745,0.07681858,0.09218822
meld_train_dia0_utt13,0.5173971,0.04642168,0.060542148,0.08961653,0.15066876,0.058751535,0.076602176
meld_train_dia1_utt0,0.2907932,0.30375805,0.043147597,0.08421555,0.10723373,0.07516101,0.09569084
meld_train_dia1_utt1,0.12931354,0.05094206,0.11253117,0.16890955,0.15148264,0.08153788,0.3052832
meld_train_dia1_utt2,0.16464114,0.2969464,0.09169526,0.08324651,0.10989293,0.0962477,0.15733008
meld_train_dia1_utt3,0.19934373,0.10777248,0.22931767,0.18249282,0.14624888,0.043455485,0.09136897
meld_train_dia1_utt4,0.27536994,0.07010554,0.060553476,0.063959464,0.27963367,0.05577457,0.19460338
meld_train_dia1_utt5,0.41641647,0.051975194,0.068427354,0.10310676,0.16858934,0.06776981,0.12371514
meld_train_dia1_utt8,0.28067344,0.07130152,0.05929775,0.084804185,0.3290456,0.052231696,0.12264575
meld_train_dia2_utt0,0.5652492,0.057227243,0.03581579,0.074772224,0.14454615,0.046885066,0.07550438
meld_train_dia2_utt1,0.32568505,0.05242403,0.058750957,0.18136074,0.1173232,0.12991236,0.13454366
meld_train_dia2_utt2,0.24192443,0.10276752,0.09493927,0.17056644,0.19950537,0.053538498,0.13675854
meld_train_dia2_utt3,0.22986619,0.06288955,0.0684485,0.32197338,0.095462,0.13337593,0.0879844
meld_train_dia2_utt4,0.09369718,0.20622197,0.107463956,0.13720538,0.14329654,0.10839113,0.20372386
meld_train_dia2_utt5,0.49719805,0.09172579,0.03833708,0.103360906,0.121325895,0.086807564,0.061244722
meld_train_dia2_utt6,0.23304842,0.109989025,0.07388234,0.14210282,0.20960994,0.084152676,0.14721477
meld_train_dia2_utt7,0.4864824,0.07383125,0.053624,0.090351894,0.122340985,0.059452906,0.11391657
meld_train_dia2_utt8,0.58131355,0.05761759,0.054327264,0.09727826,0.09182596,0.052493542,0.06514373
meld_train_dia2_utt9,0.578465,0.075148016,0.038191963,0.08350733,0.106871456,0.04078912,0.0770271
meld_train_dia2_utt10,0.16470258,0.11618216,0.048271038,0.088323854,0.3637706,0.05318028,0.16556945
meld_train_dia2_utt11,0.46683726,0.17201748,0.047005054,0.09475301,0.08232703,0.056627154,0.080433026
meld_train_dia2_utt12,0.33048832,0.088817894,0.063814275,0.07803708,0.28511977,0.049242605,0.10448004
meld_train_dia3_utt0,0.065161325,0.2602523,0.13957572,0.16416971,0.14171362,0.1042211,0.12490621
meld_train_dia3_utt1,0.09328118,0.40303773,0.06130898,0.08425584,0.105638884,0.08218444,0.17029293
meld_train_dia3_utt2,0.10097112,0.49348822,0.04810075,0.07073664,0.08918235,0.075594634,0.121926285
meld_train_dia3_utt3,0.44318998,0.10461293,0.03266317,0.1292445,0.12105882,0.068038695,0.101191916
meld_train_dia3_utt4,0.24101572,0.13286316,0.08123915,0.19317384,0.108945586,0.11882393,0.123938665
meld_train_dia3_utt5,0.3799973,0.090187386,0.07451309,0.13458921,0.105475,0.10556565,0.10967233
meld_train_dia3_utt6,0.19885112,0.18971731,0.049907237,0.14893672,0.087950505,0.09531837,0.22931874
meld_train_dia3_utt8,0.15924856,0.15228379,0.07011965,0.12613353,0.3640447,0.051078737,0.07709105
meld_train_dia3_utt9,0.47085413,0.069473535,0.04780297,0.08896543,0.14584762,0.06460666,0.11244971
meld_train_dia4_utt0,0.21784428,0.11729987,0.039118517,0.057089917,0.41157535,0.039598666,0.11747341
meld_train_dia4_utt1,0.16757117,0.084877215,0.038854424,0.0600398,0.4880987,0.0369963,0.1235624
meld_train_dia4_utt2,0.3450724,0.30263966,0.040226754,0.061978027,0.12531507,0.048277605,0.076490514
meld_train_dia4_utt3,0.5076775,0.058728296,0.05117738,0.09830939,0.1061844,0.059938733,0.11798433
meld_train_dia4_utt4,0.44428542,0.092747785,0.061096236,0.10951926,0.152435,0.066665486,0.073250785
meld_train_dia4_utt5,0.5541958,0.052896075,0.040002562,0.0823419,0.13852838,0.05154657,0.08048875
meld_train_dia4_utt6,0.5541958,0.052896075,0.040002562,0.0823419,0.13852838,0.05154657,0.08048875
meld_train_dia4_utt7,0.47921982,0.08475423,0.053191427,0.116039865,0.14524046,0.047805205,0.073748976
meld_train_dia4_utt8,0.25493556,0.072834335,0.082567304,0.14647709,0.22051157,0.07069861,0.15197557
meld_train_dia4_utt9,0.11683835,0.07467922,0.054983307,0.07373089,0.54231447,0.031524234,0.105929576
meld_train_dia4_utt10,0.1302136,0.13040923,0.05824277,0.074639894,0.38794652,0.04677843,0.17176954
meld_train_dia4_utt11,0.18156035,0.0527475,0.10746081,0.36348584,0.1272568,0.045953844,0.12153481
meld_train_dia4_utt12,0.50139326,0.07482458,0.060708757,0.1072676,0.12702648,0.04889965,0.0798796
meld_train_dia4_utt13,0.57107466,0.050974432,0.045805324,0.08482128,0.11568396,0.059282273,0.07235806
meld_train_dia4_utt14,0.57107466,0.050974432,0.045805324,0.08482128,0.11568396,0.059282273,0.07235806
meld_train_dia5_utt0,0.47162604,0.069112375,0.056775697,0.11074501,0.11945705,0.057399973,0.11488377
meld_train_dia5_utt1,0.49567047,0.07257937,0.05425714,0.116291165,0.10019364,0.06564823,0.095359966
meld_train_dia5_utt2,0.54748917,0.08101013,0.053281505,0.0845712,0.10788587,0.043968227,0.08179398
meld_train_dia5_utt3,0.10091752,0.11760539,0.06683462,0.077714376,0.3379442,0.06695831,0.2320256
meld_train_dia6_utt0,0.09839854,0.08512285,0.046344977,0.05506629,0.5581641,0.042272035,0.114631176
meld_train_dia6_utt1,0.1964153,0.27787116,0.0666065,0.07994349,0.24108674,0.06368192,0.07439489
