prob_0,prob_1,prob_2,prob_3,file_id
0.04634576,0.05110996,0.47596148,0.42658284,Ses01F_impro01_F000
0.047368634,0.68996763,0.16577643,0.09688727,Ses01F_impro01_F001
0.02571767,0.07412206,0.88647515,0.0136851175,Ses01F_impro01_F002
0.082035296,0.038063973,0.8715556,0.008345051,Ses01F_impro01_F005
0.86073226,0.07289885,0.036440276,0.029928595,Ses01F_impro01_F012
0.017721081,0.014802536,0.9549359,0.012540436,Ses01F_impro01_F014
0.9053518,0.00814352,0.05765257,0.028852157,Ses01F_impro01_M011
0.92948234,0.010195756,0.041719362,0.018602423,Ses01F_impro01_M013
0.017955994,0.012359289,0.02133372,0.94835097,Ses01F_impro02_F000
0.40440685,0.16317354,0.040008206,0.39241135,Ses01F_impro02_F001
0.019889131,0.018356035,0.09267896,0.8690758,Ses01F_impro02_F002
0.013216924,0.014509024,0.9371823,0.03509184,Ses01F_impro02_F003
0.011893679,0.009195335,0.019954016,0.958957,Ses01F_impro02_F004
0.025054252,0.13820301,0.09571025,0.7410325,Ses01F_impro02_F005
0.03059619,0.031817917,0.47501084,0.462575,Ses01F_impro02_F006
0.044218577,0.009697747,0.029324884,0.9167588,Ses01F_impro02_F008
0.021245316,0.009912266,0.0218566,0.94698584,Ses01F_impro02_F010
0.071688294,0.35947192,0.048599377,0.5202404,Ses01F_impro02_F012
0.010469147,0.028343398,0.012491604,0.9486958,Ses01F_impro02_F013
0.028305752,0.057196613,0.3975957,0.51690185,Ses01F_impro02_F014
0.0124893105,0.01445635,0.010438503,0.96261585,Ses01F_impro02_F015
0.099819,0.027511688,0.81439924,0.05827001,Ses01F_impro02_F016
0.02201896,0.15421385,0.075772874,0.7479943,Ses01F_impro02_F017
0.025101662,0.09571223,0.5697003,0.30948582,Ses01F_impro02_F018
0.01740722,0.017480616,0.00841042,0.9567017,Ses01F_impro02_F019
0.027397353,0.02016195,0.02224939,0.9301913,Ses01F_impro02_F020
0.03400408,0.00931998,0.016023602,0.9406524,Ses01F_impro02_M001
0.13625902,0.057448164,0.2691047,0.5371881,Ses01F_impro02_M005
0.027935674,0.007341063,0.012865244,0.9518579,Ses01F_impro02_M009
0.030830752,0.009171256,0.012083791,0.94791424,Ses01F_impro02_M010
0.07007827,0.22417761,0.35013574,0.35560837,Ses01F_impro02_M011
0.016191296,0.026116062,0.9332401,0.0244525,Ses01F_impro02_M012
0.04915558,0.017221134,0.03705229,0.89657104,Ses01F_impro02_M013
0.0601178,0.01646455,0.014649517,0.9087682,Ses01F_impro02_M014
0.044575363,0.073337145,0.15631078,0.7257767,Ses01F_impro02_M015
0.015869882,0.9560966,0.018538265,0.009495263,Ses01F_impro03_F000
0.015433251,0.9469492,0.027462253,0.010155212,Ses01F_impro03_F001
0.40712065,0.5026631,0.050719306,0.03949702,Ses01F_impro03_F002
0.015381556,0.8880514,0.08346837,0.013098658,Ses01F_impro03_F004
0.07985179,0.49664658,0.38701543,0.036486223,Ses01F_impro03_F005
0.019598642,0.87684816,0.04856579,0.05498743,Ses01F_impro03_F006
0.021208221,0.02421835,0.021154065,0.93341947,Ses01F_impro03_F008
0.014492816,0.9229236,0.03610707,0.02647649,Ses01F_impro03_F009
0.04270105,0.89987177,0.042454936,0.014972346,Ses01F_impro03_F010
0.013761862,0.9582549,0.013434635,0.014548646,Ses01F_impro03_F012
0.09904481,0.10971139,0.030169848,0.761074,Ses01F_impro03_F013
0.13745421,0.15951128,0.2992334,0.4038011,Ses01F_impro03_F015
0.029283654,0.2817663,0.5738694,0.1150806,Ses01F_impro03_F016
0.03256367,0.025994519,0.8974466,0.043995276,Ses01F_impro03_F017
0.06020827,0.35676214,0.3033708,0.2796588,Ses01F_impro03_F018
0.03379152,0.055344388,0.84564817,0.065215945,Ses01F_impro03_F019
0.013034105,0.9203319,0.048118923,0.01851513,Ses01F_impro03_F021
0.014297891,0.03060337,0.9424239,0.012674892,Ses01F_impro03_F022
0.05469726,0.12089289,0.7056625,0.11874734,Ses01F_impro03_F023
0.018418152,0.9358345,0.018722508,0.027024852,Ses01F_impro03_F024
0.042297527,0.106941424,0.81797224,0.032788754,Ses01F_impro03_F025
0.03163407,0.85291404,0.05199598,0.06345593,Ses01F_impro03_F026
0.027541315,0.023010844,0.79956704,0.1498808,Ses01F_impro03_M000
0.031142691,0.0626256,0.33434972,0.571882,Ses01F_impro03_M001
0.037409097,0.1483918,0.7770623,0.03713682,Ses01F_impro03_M003
0.026345536,0.04929819,0.7711208,0.15323555,Ses01F_impro03_M006
0.023342174,0.24525064,0.68724257,0.04416461,Ses01F_impro03_M007
0.044808514,0.078039184,0.8283246,0.048827656,Ses01F_impro03_M008
0.015625954,0.012030951,0.9504499,0.02189318,Ses01F_impro03_M009
0.023399467,0.019942395,0.940196,0.016462104,Ses01F_impro03_M011
0.16773736,0.057451822,0.68337137,0.09143942,Ses01F_impro03_M013
0.021511262,0.16235808,0.76645166,0.049678974,Ses01F_impro03_M014
0.028022937,0.86726576,0.070664495,0.03404677,Ses01F_impro03_M015
0.04281829,0.17748198,0.74089664,0.038803086,Ses01F_impro03_M016
