prob_0,prob_1,prob_2,prob_3,file_id
0.027021723,0.04730309,0.7830957,0.1425795,Ses01F_impro01_F000
0.016892709,0.06971773,0.8767171,0.036672495,Ses01F_impro01_F001
0.0092968205,0.010701637,0.9604818,0.019519797,Ses01F_impro01_F002
0.026742442,0.017898241,0.9452855,0.010073793,Ses01F_impro01_F005
0.08490564,0.09050596,0.67010593,0.15448244,Ses01F_impro01_F012
0.011241256,0.012147012,0.96796876,0.008642992,Ses01F_impro01_F014
0.6934826,0.034879383,0.062543415,0.20909458,Ses01F_impro01_M011
0.8594608,0.02861602,0.09103893,0.020884192,Ses01F_impro01_M013
0.01440987,0.118311554,0.043508872,0.8237697,Ses01F_impro02_F000
0.032338224,0.34906042,0.121924646,0.49667674,Ses01F_impro02_F001
0.024332486,0.030871684,0.8658261,0.07896967,Ses01F_impro02_F002
0.0074548214,0.017954737,0.95678174,0.017808741,Ses01F_impro02_F003
0.025482194,0.16025902,0.41947347,0.39478528,Ses01F_impro02_F004
0.03074828,0.108747065,0.37554297,0.48496172,Ses01F_impro02_F005
0.017425971,0.014489285,0.07410945,0.89397526,Ses01F_impro02_F006
0.030414907,0.051092204,0.6125268,0.30596608,Ses01F_impro02_F008
0.05074241,0.03637597,0.24152926,0.6713523,Ses01F_impro02_F010
0.07197808,0.06789729,0.08631332,0.7738113,Ses01F_impro02_F012
0.018837042,0.0321227,0.7220765,0.22696379,Ses01F_impro02_F013
0.022084665,0.3340742,0.1411913,0.5026498,Ses01F_impro02_F014
0.025206717,0.07301699,0.49775162,0.40402466,Ses01F_impro02_F015
0.051232357,0.11406139,0.7817509,0.052955255,Ses01F_impro02_F016
0.009376816,0.92863345,0.029017845,0.032971866,Ses01F_impro02_F017
0.09738249,0.11728601,0.66600764,0.119323865,Ses01F_impro02_F018
0.025424218,0.1020689,0.71378523,0.1587217,Ses01F_impro02_F019
0.015299763,0.72273517,0.0716322,0.19033287,Ses01F_impro02_F020
0.051115334,0.033832695,0.8468574,0.0681945,Ses01F_impro02_M001
0.040651765,0.044483297,0.8412382,0.07362668,Ses01F_impro02_M005
0.039491087,0.014168381,0.045439336,0.9009012,Ses01F_impro02_M009
0.043647703,0.03925189,0.026821816,0.8902786,Ses01F_impro02_M010
